cell_label,x,y,celltype_F,celltype_F_class,area
27255,11997,20132,Oligo,Non-neuronal,FI
27256,14365,20132,Oligo,Non-neuronal,FI
27257,15127,20132,Oligo,Non-neuronal,FI
27258,11959,20134,Oligo,Non-neuronal,FI
27260,16271,20135,Oligo,Non-neuronal,FI
27261,11748,20138,Oligo,Non-neuronal,FI
27262,14862,20138,Oligo,Non-neuronal,FI
27265,6158,20139,Oligo,Non-neuronal,FI
27266,13115,20140,Oligo,Non-neuronal,FI
27268,17901,20139,Oligo,Non-neuronal,FI
27270,10361,20140,L6 CT,Excitatory,FI
27272,14274,20141,Oligo,Non-neuronal,FI
27273,14810,20141,Oligo,Non-neuronal,FI
27274,15497,20140,Oligo,Non-neuronal,FI
27275,18167,20140,Oligo,Non-neuronal,FI
27277,16553,20142,Oligo,Non-neuronal,FI
27278,16046,20145,Oligo,Non-neuronal,FI
27279,7811,20147,L6 CT,Excitatory,FI
27280,12482,20145,Oligo,Non-neuronal,FI
27281,12576,20145,Oligo,Non-neuronal,FI
27282,12740,20146,Oligo,Non-neuronal,FI
27283,7702,20148,Oligo,Non-neuronal,FI
27284,12024,20148,Oligo,Non-neuronal,FI
27285,17453,20147,Oligo,Non-neuronal,FI
27286,12068,20150,Oligo,Non-neuronal,FI
27287,15472,20150,Oligo,Non-neuronal,FI
27289,6747,20150,L6 IT,Excitatory,FI
27292,11227,20151,Oligo,Non-neuronal,FI
27293,13972,20151,Oligo,Non-neuronal,FI
27294,8756,20153,Oligo,Non-neuronal,FI
27295,15673,20153,Oligo,Non-neuronal,FI
27296,7387,20156,VIP,Inhibitory,FI
27297,13408,20155,Oligo,Non-neuronal,FI
27298,16284,20153,Oligo,Non-neuronal,FI
27300,15129,20157,Oligo,Non-neuronal,FI
27301,16638,20158,Oligo,Non-neuronal,FI
27302,7046,20161,L5 IT,Excitatory,FI
27303,12663,20164,Oligo,Non-neuronal,FI
27304,16008,20162,Oligo,Non-neuronal,FI
27305,19044,20162,Oligo,Non-neuronal,FI
27306,13910,20163,Oligo,Non-neuronal,FI
27307,15584,20163,Oligo,Non-neuronal,FI
27308,5720,20166,Chandelier,Inhibitory,FI
27309,9615,20166,Endo,Non-neuronal,FI
27310,11998,20166,Oligo,Non-neuronal,FI
27313,6011,20166,Micro/PVM,Non-neuronal,FI
27314,10282,20167,Astro,Non-neuronal,FI
27315,11037,20168,Oligo,Non-neuronal,FI
27316,11605,20167,Oligo,Non-neuronal,FI
27317,14760,20167,Oligo,Non-neuronal,FI
27318,15720,20167,Oligo,Non-neuronal,FI
27319,17894,20166,Oligo,Non-neuronal,FI
