cell_label,x,y,celltype_F,celltype_F_class,area
9209,5849,4529,Oligo,Non-neuronal,ACC
9211,1151,4529,Oligo,Non-neuronal,ACC
9212,3571,4530,Oligo,Non-neuronal,ACC
9213,7329,4531,OPC,Non-neuronal,ACC
9215,3750,4532,Oligo,Non-neuronal,ACC
9216,20985,4529,L2/3 IT,Excitatory,ACC
9217,22045,4532,Astro,Non-neuronal,ACC
9218,3464,4534,Oligo,Non-neuronal,ACC
9219,3524,4533,Oligo,Non-neuronal,ACC
9220,16131,4534,Astro,Non-neuronal,ACC
9221,16535,4535,Astro,Non-neuronal,ACC
9222,2365,4538,Micro/PVM,Non-neuronal,ACC
9223,4192,4536,Oligo,Non-neuronal,ACC
9225,15424,4537,L5/6 NP,Excitatory,ACC
9226,2501,4539,Oligo,Non-neuronal,ACC
9228,6988,4538,Oligo,Non-neuronal,ACC
9229,3912,4540,Oligo,Non-neuronal,ACC
9233,6935,4542,Oligo,Non-neuronal,ACC
9234,5450,4544,Oligo,Non-neuronal,ACC
9237,2542,4546,Oligo,Non-neuronal,ACC
9238,21039,4546,L5 IT,Excitatory,ACC
9239,880,4548,Oligo,Non-neuronal,ACC
9240,1372,4548,Oligo,Non-neuronal,ACC
9243,20849,4547,SNCG,Inhibitory,ACC
9244,2209,4549,Oligo,Non-neuronal,ACC
9245,11763,4549,SST,Inhibitory,ACC
9247,18100,4547,Astro,Non-neuronal,ACC
9248,3311,4551,Oligo,Non-neuronal,ACC
9249,23020,4551,Micro/PVM,Non-neuronal,ACC
9250,24338,4552,SST,Inhibitory,ACC
9251,1520,4552,Oligo,Non-neuronal,ACC
9252,2027,4552,Oligo,Non-neuronal,ACC
9257,4361,4556,Astro,Non-neuronal,ACC
9258,18282,4557,Oligo,Non-neuronal,ACC
9261,1929,4557,Oligo,Non-neuronal,ACC
9262,2782,4559,Oligo,Non-neuronal,ACC
9263,8081,4561,Oligo,Non-neuronal,ACC
9264,8357,4561,Oligo,Non-neuronal,ACC
9271,2732,4570,OPC,Non-neuronal,ACC
9272,10560,4571,L6B,Excitatory,ACC
9274,1139,4572,Oligo,Non-neuronal,ACC
9275,2696,4572,Micro/PVM,Non-neuronal,ACC
9277,16529,4574,Astro,Non-neuronal,ACC
9278,17095,4573,L6 CT,Excitatory,ACC
9282,3405,4577,Oligo,Non-neuronal,ACC
9284,4908,4578,Oligo,Non-neuronal,ACC
9285,13763,4578,Oligo,Non-neuronal,ACC
9286,2772,4580,Oligo,Non-neuronal,ACC
9289,15303,4581,L6 CT,Excitatory,ACC
9290,6675,4583,Oligo,Non-neuronal,ACC
9292,23665,4583,Astro,Non-neuronal,ACC
9293,3650,4587,Oligo,Non-neuronal,ACC
9294,11665,4588,Oligo,Non-neuronal,ACC
9295,21917,4588,Micro/PVM,Non-neuronal,ACC
9296,1775,4589,Oligo,Non-neuronal,ACC
9300,17795,4590,Oligo,Non-neuronal,ACC
9303,7717,4590,Oligo,Non-neuronal,ACC
9304,17305,4592,L6 IT,Excitatory,ACC
9307,2183,4592,Oligo,Non-neuronal,ACC
9308,9295,4593,Micro/PVM,Non-neuronal,ACC
9309,18891,4593,L4 IT,Excitatory,ACC
9310,21167,4594,Astro,Non-neuronal,ACC
9314,4445,4599,Oligo,Non-neuronal,ACC
9316,18408,4599,Oligo,Non-neuronal,ACC
9319,2073,4604,Oligo,Non-neuronal,ACC
9321,14775,4604,Oligo,Non-neuronal,ACC
9325,9258,4603,Oligo,Non-neuronal,ACC
9326,3599,4608,Oligo,Non-neuronal,ACC
9327,5872,4607,Astro,Non-neuronal,ACC
9328,16285,4607,Micro/PVM,Non-neuronal,ACC
9329,1203,4609,Oligo,Non-neuronal,ACC
9331,23532,4609,Astro,Non-neuronal,ACC
9332,4095,4611,Oligo,Non-neuronal,ACC
9333,4418,4611,Oligo,Non-neuronal,ACC
9334,9499,4609,Oligo,Non-neuronal,ACC
9336,3267,4612,Oligo,Non-neuronal,ACC
9337,3902,4613,Oligo,Non-neuronal,ACC
9338,8428,4613,Oligo,Non-neuronal,ACC
9339,9275,4615,Oligo,Non-neuronal,ACC
9340,9535,4615,Oligo,Non-neuronal,ACC
9341,21384,4613,L4 IT,Excitatory,ACC
9342,2563,4616,Oligo,Non-neuronal,ACC
9344,16468,4617,L5/6 NP,Excitatory,ACC
9346,1511,4618,Oligo,Non-neuronal,ACC
9347,6300,4618,OPC,Non-neuronal,ACC
9348,6788,4619,Oligo,Non-neuronal,ACC
9351,4028,4619,Oligo,Non-neuronal,ACC
9352,4511,4620,Oligo,Non-neuronal,ACC
9356,21360,4620,OPC,Non-neuronal,ACC
9357,21964,4620,L5 IT,Excitatory,ACC
9358,3713,4623,Oligo,Non-neuronal,ACC
9360,6343,4622,Oligo,Non-neuronal,ACC
9361,14108,4622,SST,Inhibitory,ACC
9362,5262,4624,Oligo,Non-neuronal,ACC
9363,15995,4627,SST,Inhibitory,ACC
9365,3402,4626,Oligo,Non-neuronal,ACC
9367,2090,4628,Oligo,Non-neuronal,ACC
9370,1283,4629,Oligo,Non-neuronal,ACC
9373,3239,4632,Oligo,Non-neuronal,ACC
9374,4305,4632,Oligo,Non-neuronal,ACC
9375,8485,4632,Micro/PVM,Non-neuronal,ACC
9376,16231,4632,Oligo,Non-neuronal,ACC
9377,6417,4634,Oligo,Non-neuronal,ACC
9378,8391,4634,L6B,Excitatory,ACC
9379,12714,4634,L6 CT,Excitatory,ACC
9380,2134,4636,Oligo,Non-neuronal,ACC
9381,2850,4635,Oligo,Non-neuronal,ACC
9382,6446,4635,Oligo,Non-neuronal,ACC
9383,10114,4635,Oligo,Non-neuronal,ACC
9387,18341,4637,Oligo,Non-neuronal,ACC
9388,3617,4641,Oligo,Non-neuronal,ACC
9389,999,4640,Oligo,Non-neuronal,ACC
9390,1471,4640,Oligo,Non-neuronal,ACC
9392,5895,4643,Oligo,Non-neuronal,ACC
9394,3587,4644,Oligo,Non-neuronal,ACC
9396,6958,4645,Oligo,Non-neuronal,ACC
9399,10576,4646,Micro/PVM,Non-neuronal,ACC
9402,17624,4648,Oligo,Non-neuronal,ACC
9405,5138,4649,Oligo,Non-neuronal,ACC
9406,3844,4652,Oligo,Non-neuronal,ACC
