cell_label,x,y,celltype_F,celltype_F_class,area
3645,24022,2876,PVALB,Inhibitory,A1C
3646,16179,2877,Oligo,Non-neuronal,A1C
3647,22705,2877,L5/6 NP,Excitatory,A1C
3648,20029,2879,LAMP5 LHX6,Inhibitory,A1C
3650,13051,2879,L6 CT,Excitatory,A1C
3651,13673,2881,Oligo,Non-neuronal,A1C
3652,16376,2883,Oligo,Non-neuronal,A1C
3654,11840,2884,Astro,Non-neuronal,A1C
3655,25840,2884,Oligo,Non-neuronal,A1C
3657,10970,2887,L6B,Excitatory,A1C
3659,23992,2886,Oligo,Non-neuronal,A1C
3660,26831,2885,Astro,Non-neuronal,A1C
3661,10720,2888,Oligo,Non-neuronal,A1C
3664,22816,2890,Oligo,Non-neuronal,A1C
3665,10487,2893,L6 IT Car3,Excitatory,A1C
3666,12722,2894,Oligo,Non-neuronal,A1C
3667,11161,2893,Oligo,Non-neuronal,A1C
3668,17616,2893,Oligo,Non-neuronal,A1C
3671,23355,2895,Oligo,Non-neuronal,A1C
3672,10323,2898,L6 CT,Excitatory,A1C
3674,15498,2899,Oligo,Non-neuronal,A1C
3675,16175,2900,Micro/PVM,Non-neuronal,A1C
3677,20887,2900,L5 IT,Excitatory,A1C
3678,16345,2897,Oligo,Non-neuronal,A1C
3679,19099,2902,Oligo,Non-neuronal,A1C
3681,22369,2902,Micro/PVM,Non-neuronal,A1C
3682,22849,2903,Oligo,Non-neuronal,A1C
3683,23893,2904,Oligo,Non-neuronal,A1C
3691,25383,2910,L2/3 IT,Excitatory,A1C
3693,13340,2915,Astro,Non-neuronal,A1C
3698,15209,2916,Oligo,Non-neuronal,A1C
3699,19161,2917,Micro/PVM,Non-neuronal,A1C
3703,14047,2918,Oligo,Non-neuronal,A1C
3704,18942,2921,Oligo,Non-neuronal,A1C
3707,18709,2922,L6 CT,Excitatory,A1C
3708,26541,2922,Oligo,Non-neuronal,A1C
3710,11739,2923,Oligo,Non-neuronal,A1C
3715,21590,2926,SST,Inhibitory,A1C
3716,24282,2926,SST,Inhibitory,A1C
3717,11055,2927,Astro,Non-neuronal,A1C
3719,22493,2926,Micro/PVM,Non-neuronal,A1C
3722,25547,2928,L2/3 IT,Excitatory,A1C
3725,26022,2931,L6 CT,Excitatory,A1C
3728,20990,2932,L5 IT,Excitatory,A1C
3729,21490,2934,Oligo,Non-neuronal,A1C
3730,25198,2935,L2/3 IT,Excitatory,A1C
3731,22711,2936,Oligo,Non-neuronal,A1C
3732,23320,2935,Oligo,Non-neuronal,A1C
3733,23962,2936,SST,Inhibitory,A1C
3736,11265,2939,Oligo,Non-neuronal,A1C
3742,12712,2944,L6 IT,Excitatory,A1C
3744,16088,2944,Oligo,Non-neuronal,A1C
3746,17986,2941,Oligo,Non-neuronal,A1C
3747,21902,2943,L5 IT,Excitatory,A1C
3748,26658,2944,LAMP5 LHX6,Inhibitory,A1C
3751,12664,2947,OPC,Non-neuronal,A1C
3753,23629,2946,Astro,Non-neuronal,A1C
3754,27004,2947,Astro,Non-neuronal,A1C
3756,15181,2949,Oligo,Non-neuronal,A1C
3757,18325,2948,Astro,Non-neuronal,A1C
3758,24750,2948,Oligo,Non-neuronal,A1C
3759,14514,2951,Oligo,Non-neuronal,A1C
3761,19198,2950,Oligo,Non-neuronal,A1C
3762,26941,2948,L2/3 IT,Excitatory,A1C
3766,16860,2954,Oligo,Non-neuronal,A1C
3767,10257,2956,Oligo,Non-neuronal,A1C
3769,26125,2956,Oligo,Non-neuronal,A1C
3771,11400,2957,Oligo,Non-neuronal,A1C
3773,13846,2959,Oligo,Non-neuronal,A1C
3778,23608,2961,L4 IT,Excitatory,A1C
3779,17968,2964,Micro/PVM,Non-neuronal,A1C
3780,21317,2962,L5 IT,Excitatory,A1C
3782,14189,2965,Astro,Non-neuronal,A1C
3783,16218,2961,Oligo,Non-neuronal,A1C
3784,18211,2965,SST,Inhibitory,A1C
3786,23409,2965,L4 IT,Excitatory,A1C
3791,21378,2965,Oligo,Non-neuronal,A1C
3793,20254,2968,L5/6 NP,Excitatory,A1C
3795,19729,2970,Oligo,Non-neuronal,A1C
