cell_label,x,y,celltype_F,celltype_F_class,area
9715,3553,2206,L2/3 IT,Excitatory,V1C
9719,8829,2208,L2/3 IT,Excitatory,V1C
9720,11265,2207,Astro,Non-neuronal,V1C
9721,14288,2207,L4 IT,Excitatory,V1C
9723,15602,2206,Oligo,Non-neuronal,V1C
9727,32709,2207,PVALB,Inhibitory,V1C
9730,10969,2209,L2/3 IT,Excitatory,V1C
9733,22660,2209,L4 IT,Excitatory,V1C
9736,3669,2211,L2/3 IT,Excitatory,V1C
9738,11824,2208,L2/3 IT,Excitatory,V1C
9747,23984,2212,Oligo,Non-neuronal,V1C
9754,17268,2215,L2/3 IT,Excitatory,V1C
9755,15381,2215,L2/3 IT,Excitatory,V1C
9765,9584,2218,SNCG,Inhibitory,V1C
9768,23377,2217,L2/3 IT,Excitatory,V1C
9772,4130,2220,L2/3 IT,Excitatory,V1C
9775,11982,2219,Oligo,Non-neuronal,V1C
9779,8563,2221,L2/3 IT,Excitatory,V1C
9780,11452,2218,VIP,Inhibitory,V1C
9783,27644,2222,SST,Inhibitory,V1C
9784,30072,2222,Astro,Non-neuronal,V1C
9788,33122,2222,L4 IT,Excitatory,V1C
9791,22277,2223,Micro/PVM,Non-neuronal,V1C
9795,8012,2225,L2/3 IT,Excitatory,V1C
9798,19049,2226,L2/3 IT,Excitatory,V1C
9801,22873,2225,L2/3 IT,Excitatory,V1C
9803,27034,2225,Micro/PVM,Non-neuronal,V1C
9807,12795,2226,L2/3 IT,Excitatory,V1C
9808,16346,2227,Chandelier,Inhibitory,V1C
9809,17924,2227,Micro/PVM,Non-neuronal,V1C
9812,20271,2228,L4 IT,Excitatory,V1C
9815,32186,2228,Micro/PVM,Non-neuronal,V1C
9816,32906,2227,SST,Inhibitory,V1C
9817,5943,2229,L2/3 IT,Excitatory,V1C
9818,6900,2228,L2/3 IT,Excitatory,V1C
9830,20796,2230,L4 IT,Excitatory,V1C
9831,26027,2230,L2/3 IT,Excitatory,V1C
9832,2273,2232,L2/3 IT,Excitatory,V1C
9833,10550,2232,Micro/PVM,Non-neuronal,V1C
9841,30175,2232,L2/3 IT,Excitatory,V1C
9849,29079,2234,L2/3 IT,Excitatory,V1C
9852,6598,2236,L2/3 IT,Excitatory,V1C
9859,1845,2238,LAMP5,Inhibitory,V1C
9861,15922,2235,L4 IT,Excitatory,V1C
9863,17081,2234,L4 IT,Excitatory,V1C
9865,29968,2238,L4 IT,Excitatory,V1C
9867,32998,2237,Oligo,Non-neuronal,V1C
9868,3897,2239,SNCG,Inhibitory,V1C
9872,11276,2239,Astro,Non-neuronal,V1C
9873,12146,2239,Micro/PVM,Non-neuronal,V1C
9874,15529,2239,L2/3 IT,Excitatory,V1C
9875,18225,2238,L4 IT,Excitatory,V1C
9880,3308,2240,L2/3 IT,Excitatory,V1C
9881,4056,2241,L2/3 IT,Excitatory,V1C
9884,11140,2239,LAMP5,Inhibitory,V1C
9887,18564,2241,L4 IT,Excitatory,V1C
9888,23901,2240,Astro,Non-neuronal,V1C
9891,31652,2241,Astro,Non-neuronal,V1C
9893,6379,2242,SST,Inhibitory,V1C
9897,24985,2242,Micro/PVM,Non-neuronal,V1C
9898,29154,2243,L4 IT,Excitatory,V1C
9900,8529,2244,PVALB,Inhibitory,V1C
9911,34538,2245,L6 CT,Excitatory,V1C
9912,3124,2246,L2/3 IT,Excitatory,V1C
9914,9814,2246,L4 IT,Excitatory,V1C
9915,11895,2247,Astro,Non-neuronal,V1C
9917,20505,2247,L4 IT,Excitatory,V1C
9918,20643,2246,L4 IT,Excitatory,V1C
9920,30571,2246,L2/3 IT,Excitatory,V1C
9922,34181,2246,L4 IT,Excitatory,V1C
9924,5753,2248,L2/3 IT,Excitatory,V1C
9925,11339,2248,Astro,Non-neuronal,V1C
9928,20426,2248,L2/3 IT,Excitatory,V1C
9929,21357,2248,L2/3 IT,Excitatory,V1C
9931,32670,2248,L4 IT,Excitatory,V1C
9937,26633,2249,L4 IT,Excitatory,V1C
9944,18006,2251,L5/6 NP,Excitatory,V1C
9945,20483,2252,OPC,Non-neuronal,V1C
9946,23518,2251,L2/3 IT,Excitatory,V1C
9949,31365,2250,L2/3 IT,Excitatory,V1C
9952,14529,2253,L4 IT,Excitatory,V1C
9953,20966,2254,L4 IT,Excitatory,V1C
9957,14424,2254,L4 IT,Excitatory,V1C
9960,30523,2256,L2/3 IT,Excitatory,V1C
9964,11162,2257,L2/3 IT,Excitatory,V1C
9965,12206,2256,L2/3 IT,Excitatory,V1C
9967,17717,2257,L4 IT,Excitatory,V1C
9969,17862,2256,L4 IT,Excitatory,V1C
9971,27315,2258,L4 IT,Excitatory,V1C
9974,7629,2258,L2/3 IT,Excitatory,V1C
9975,9927,2259,L2/3 IT,Excitatory,V1C
9976,10558,2259,OPC,Non-neuronal,V1C
9977,26499,2258,L2/3 IT,Excitatory,V1C
9982,4297,2260,L2/3 IT,Excitatory,V1C
9984,12821,2260,L4 IT,Excitatory,V1C
9992,19969,2261,OPC,Non-neuronal,V1C
9993,22740,2261,Astro,Non-neuronal,V1C
9996,34743,2261,L6 IT,Excitatory,V1C
9998,5716,2262,Oligo,Non-neuronal,V1C
10003,24726,2260,L4 IT,Excitatory,V1C
10004,32592,2262,PVALB,Inhibitory,V1C
10007,14097,2263,L2/3 IT,Excitatory,V1C
10009,17546,2264,Astro,Non-neuronal,V1C
10010,18320,2264,Micro/PVM,Non-neuronal,V1C
10016,33783,2264,L5 IT,Excitatory,V1C
10020,12387,2266,OPC,Non-neuronal,V1C
10028,3469,2266,L2/3 IT,Excitatory,V1C
10030,13320,2267,L4 IT,Excitatory,V1C
10034,8189,2270,SNCG,Inhibitory,V1C
10035,9638,2270,L2/3 IT,Excitatory,V1C
10036,12055,2269,L2/3 IT,Excitatory,V1C
10044,27508,2269,Astro,Non-neuronal,V1C
10045,31051,2269,Astro,Non-neuronal,V1C
10049,19388,2271,L2/3 IT,Excitatory,V1C
10053,32855,2270,Micro/PVM,Non-neuronal,V1C
10055,33329,2270,PVALB,Inhibitory,V1C
10056,8153,2272,L2/3 IT,Excitatory,V1C
10057,11959,2272,VIP,Inhibitory,V1C
10060,25191,2272,Astro,Non-neuronal,V1C
10064,30870,2272,Micro/PVM,Non-neuronal,V1C
10066,34266,2272,Micro/PVM,Non-neuronal,V1C
10068,10465,2274,L2/3 IT,Excitatory,V1C
10073,20779,2276,L4 IT,Excitatory,V1C
10074,22169,2277,LAMP5 LHX6,Inhibitory,V1C
10082,10213,2279,L2/3 IT,Excitatory,V1C
10089,5295,2282,L2/3 IT,Excitatory,V1C
10094,30214,2282,L2/3 IT,Excitatory,V1C
10095,33841,2282,L4 IT,Excitatory,V1C
10096,34165,2282,L6B,Excitatory,V1C
10102,28638,2283,Astro,Non-neuronal,V1C
10109,9504,2284,L2/3 IT,Excitatory,V1C
10112,20669,2284,PVALB,Inhibitory,V1C
10119,9950,2286,L4 IT,Excitatory,V1C
10120,14182,2286,LAMP5,Inhibitory,V1C
10123,18874,2286,Astro,Non-neuronal,V1C
10124,23344,2286,OPC,Non-neuronal,V1C
10127,3308,2289,VIP,Inhibitory,V1C
10139,34371,2289,Oligo,Non-neuronal,V1C
10141,3253,2293,L2/3 IT,Excitatory,V1C
10142,8371,2292,L4 IT,Excitatory,V1C
10143,9320,2291,Astro,Non-neuronal,V1C
10144,11856,2292,L5 ET,Excitatory,V1C
10148,33765,2291,L4 IT,Excitatory,V1C
10149,10347,2294,L2/3 IT,Excitatory,V1C
10151,11714,2294,L2/3 IT,Excitatory,V1C
10156,7568,2296,L4 IT,Excitatory,V1C
10166,13120,2296,L2/3 IT,Excitatory,V1C
10167,22118,2297,L4 IT,Excitatory,V1C
10170,30452,2296,L4 IT,Excitatory,V1C
10172,11992,2299,L6 IT Car3,Excitatory,V1C
10173,19281,2299,L4 IT,Excitatory,V1C
10177,33797,2299,L5 IT,Excitatory,V1C
10180,11540,2301,Micro/PVM,Non-neuronal,V1C
10184,32193,2301,Astro,Non-neuronal,V1C
10187,5618,2302,Astro,Non-neuronal,V1C
10189,18260,2301,L4 IT,Excitatory,V1C
10190,23281,2302,Astro,Non-neuronal,V1C
10195,5889,2304,L2/3 IT,Excitatory,V1C
10196,9651,2304,L4 IT,Excitatory,V1C
10198,12999,2304,SST,Inhibitory,V1C
10202,34786,2304,L4 IT,Excitatory,V1C
10207,19728,2307,OPC,Non-neuronal,V1C
10208,26481,2307,L4 IT,Excitatory,V1C
10212,4493,2308,OPC,Non-neuronal,V1C
10213,5269,2307,L2/3 IT,Excitatory,V1C
10218,27539,2308,Micro/PVM,Non-neuronal,V1C
10226,28230,2309,Astro,Non-neuronal,V1C
10228,7363,2312,VLMC,Non-neuronal,V1C
10232,21791,2311,L4 IT,Excitatory,V1C
10233,27020,2310,L4 IT,Excitatory,V1C
10238,8131,2314,L2/3 IT,Excitatory,V1C
10239,8939,2312,L2/3 IT,Excitatory,V1C
10240,11513,2313,L5 IT,Excitatory,V1C
10241,25817,2314,L4 IT,Excitatory,V1C
10244,32309,2313,L6 CT,Excitatory,V1C
10247,7589,2315,L2/3 IT,Excitatory,V1C
10249,15640,2315,Micro/PVM,Non-neuronal,V1C
10250,17783,2315,Astro,Non-neuronal,V1C
