cell_label,x,y,celltype_F,celltype_F_class,area
11932,26560,5129,VIP,Inhibitory,S1C
11936,6272,5134,SST,Inhibitory,S1C
11937,10776,5132,Oligo,Non-neuronal,S1C
11942,9181,5135,Oligo,Non-neuronal,S1C
11943,10525,5136,L6 CT,Excitatory,S1C
11944,10976,5135,L5/6 NP,Excitatory,S1C
11945,12341,5135,VIP,Inhibitory,S1C
11947,26316,5134,Micro/PVM,Non-neuronal,S1C
11948,30427,5134,Oligo,Non-neuronal,S1C
11949,405,5136,L4 IT,Excitatory,S1C
11950,1623,5136,Chandelier,Inhibitory,S1C
11952,10644,5136,Oligo,Non-neuronal,S1C
11954,26350,5138,L2/3 IT,Excitatory,S1C
11957,3426,5139,Astro,Non-neuronal,S1C
11958,5503,5138,L5 IT,Excitatory,S1C
11959,8820,5139,OPC,Non-neuronal,S1C
11964,6510,5140,L4 IT,Excitatory,S1C
11965,8738,5141,L6 IT Car3,Excitatory,S1C
11967,13652,5142,L2/3 IT,Excitatory,S1C
11968,30266,5140,Oligo,Non-neuronal,S1C
11974,12998,5141,L4 IT,Excitatory,S1C
11976,35383,5142,Micro/PVM,Non-neuronal,S1C
11978,880,5143,OPC,Non-neuronal,S1C
11979,4190,5143,L4 IT,Excitatory,S1C
11980,13052,5144,L4 IT,Excitatory,S1C
11981,16439,5144,SNCG,Inhibitory,S1C
11982,21269,5144,L2/3 IT,Excitatory,S1C
11983,30394,5144,VIP,Inhibitory,S1C
11984,34376,5144,L5 IT,Excitatory,S1C
11986,6084,5145,L6 IT,Excitatory,S1C
11987,11429,5145,Astro,Non-neuronal,S1C
11988,18883,5145,OPC,Non-neuronal,S1C
11989,30830,5147,VIP,Inhibitory,S1C
11990,31968,5146,L2/3 IT,Excitatory,S1C
11991,34982,5147,OPC,Non-neuronal,S1C
11995,20910,5148,Astro,Non-neuronal,S1C
11998,3143,5148,OPC,Non-neuronal,S1C
12003,22835,5149,OPC,Non-neuronal,S1C
12004,26004,5149,Oligo,Non-neuronal,S1C
12005,26632,5149,OPC,Non-neuronal,S1C
12007,31278,5148,VIP,Inhibitory,S1C
12008,16914,5149,L2/3 IT,Excitatory,S1C
12009,17803,5150,Oligo,Non-neuronal,S1C
12010,18679,5152,L2/3 IT,Excitatory,S1C
12011,21607,5151,L2/3 IT,Excitatory,S1C
12012,25972,5151,PVALB,Inhibitory,S1C
12017,10296,5153,Oligo,Non-neuronal,S1C
12018,27137,5154,SST,Inhibitory,S1C
12021,5547,5156,Oligo,Non-neuronal,S1C
12022,7115,5155,VIP,Inhibitory,S1C
12023,24212,5154,L5/6 NP,Excitatory,S1C
12024,25668,5156,Oligo,Non-neuronal,S1C
12025,28677,5154,SNCG,Inhibitory,S1C
12030,22391,5159,L2/3 IT,Excitatory,S1C
12032,1696,5160,Oligo,Non-neuronal,S1C
12033,2306,5159,PVALB,Inhibitory,S1C
12034,4937,5160,L5 IT,Excitatory,S1C
12038,22556,5159,SST,Inhibitory,S1C
12040,9382,5162,L2/3 IT,Excitatory,S1C
12041,22994,5162,Oligo,Non-neuronal,S1C
12042,24130,5162,L2/3 IT,Excitatory,S1C
12045,7283,5163,L5/6 NP,Excitatory,S1C
12049,13596,5164,L4 IT,Excitatory,S1C
12056,18912,5165,OPC,Non-neuronal,S1C
12057,28907,5165,LAMP5,Inhibitory,S1C
12060,36096,5167,Oligo,Non-neuronal,S1C
12062,5314,5169,L6 IT,Excitatory,S1C
12063,8796,5167,Oligo,Non-neuronal,S1C
12064,25079,5168,Astro,Non-neuronal,S1C
12065,35336,5169,SST,Inhibitory,S1C
12066,952,5169,Astro,Non-neuronal,S1C
12068,1374,5171,L5 IT,Excitatory,S1C
12069,3175,5171,Oligo,Non-neuronal,S1C
12070,8448,5170,L6 IT Car3,Excitatory,S1C
12072,19456,5171,VIP,Inhibitory,S1C
12073,24095,5170,Astro,Non-neuronal,S1C
12074,29499,5170,Oligo,Non-neuronal,S1C
12075,30652,5171,L2/3 IT,Excitatory,S1C
12076,2396,5173,L5 IT,Excitatory,S1C
12078,12018,5173,PVALB,Inhibitory,S1C
12080,32543,5172,PVALB,Inhibitory,S1C
12083,16407,5174,Astro,Non-neuronal,S1C
12086,7664,5176,Oligo,Non-neuronal,S1C
12091,27236,5175,OPC,Non-neuronal,S1C
12092,27280,5176,Micro/PVM,Non-neuronal,S1C
12093,28292,5176,PVALB,Inhibitory,S1C
12094,31054,5176,SST,Inhibitory,S1C
12096,32089,5175,L5/6 NP,Excitatory,S1C
12097,35372,5176,Astro,Non-neuronal,S1C
12101,9426,5177,Astro,Non-neuronal,S1C
12102,13189,5177,VIP,Inhibitory,S1C
12103,17129,5177,Chandelier,Inhibitory,S1C
12105,26339,5178,Micro/PVM,Non-neuronal,S1C
12107,28091,5176,VIP,Inhibitory,S1C
12108,14687,5179,Chandelier,Inhibitory,S1C
12109,14867,5179,Chandelier,Inhibitory,S1C
12111,20029,5181,Oligo,Non-neuronal,S1C
12112,22475,5178,Astro,Non-neuronal,S1C
12116,17540,5181,SST,Inhibitory,S1C
12118,1654,5183,L5 ET,Excitatory,S1C
12119,12650,5182,Oligo,Non-neuronal,S1C
12120,14802,5183,L5 IT,Excitatory,S1C
12122,31327,5183,OPC,Non-neuronal,S1C
12124,8360,5184,Oligo,Non-neuronal,S1C
12125,10930,5184,L2/3 IT,Excitatory,S1C
12128,5332,5186,L5 IT,Excitatory,S1C
12129,6346,5186,Oligo,Non-neuronal,S1C
12131,16665,5187,LAMP5,Inhibitory,S1C
12132,21279,5185,Oligo,Non-neuronal,S1C
12133,34848,5186,L2/3 IT,Excitatory,S1C
12134,5738,5188,L5 IT,Excitatory,S1C
12135,8323,5189,L6 CT,Excitatory,S1C
12137,36303,5188,L2/3 IT,Excitatory,S1C
12139,5883,5189,Oligo,Non-neuronal,S1C
12142,16920,5189,SST,Inhibitory,S1C
12143,21377,5190,L5/6 NP,Excitatory,S1C
12144,32239,5191,Micro/PVM,Non-neuronal,S1C
12146,454,5191,Micro/PVM,Non-neuronal,S1C
12148,17443,5190,OPC,Non-neuronal,S1C
12149,19066,5191,L4 IT,Excitatory,S1C
12150,20439,5192,PVALB,Inhibitory,S1C
12152,36185,5192,L5 IT,Excitatory,S1C
12153,3844,5193,L5/6 NP,Excitatory,S1C
12154,6004,5193,L5/6 NP,Excitatory,S1C
12155,10420,5194,L4 IT,Excitatory,S1C
12156,19563,5193,L2/3 IT,Excitatory,S1C
12158,26919,5194,Astro,Non-neuronal,S1C
12161,36449,5193,Oligo,Non-neuronal,S1C
12162,4363,5194,L5 IT,Excitatory,S1C
12163,6235,5195,L5 IT,Excitatory,S1C
12165,726,5197,L2/3 IT,Excitatory,S1C
12169,24102,5197,SST,Inhibitory,S1C
12170,30850,5197,Micro/PVM,Non-neuronal,S1C
12171,33375,5196,Micro/PVM,Non-neuronal,S1C
12173,11714,5198,OPC,Non-neuronal,S1C
12174,19631,5200,SST,Inhibitory,S1C
12175,26027,5199,SST,Inhibitory,S1C
12177,2206,5201,OPC,Non-neuronal,S1C
12180,11594,5201,L2/3 IT,Excitatory,S1C
12186,8464,5205,Oligo,Non-neuronal,S1C
12192,24542,5202,VIP,Inhibitory,S1C
12193,26816,5201,L2/3 IT,Excitatory,S1C
12197,10328,5205,SST,Inhibitory,S1C
12198,11771,5206,L4 IT,Excitatory,S1C
12202,32794,5206,L4 IT,Excitatory,S1C
12205,8431,5210,Oligo,Non-neuronal,S1C
12208,146,5210,PVALB,Inhibitory,S1C
12213,27279,5208,VIP,Inhibitory,S1C
12217,2003,5212,Oligo,Non-neuronal,S1C
12218,7659,5210,Oligo,Non-neuronal,S1C
12219,31549,5210,OPC,Non-neuronal,S1C
12221,34881,5211,Micro/PVM,Non-neuronal,S1C
12222,36278,5212,L6 IT Car3,Excitatory,S1C
12223,755,5213,Oligo,Non-neuronal,S1C
12224,4224,5213,Oligo,Non-neuronal,S1C
12225,12060,5212,L6 IT,Excitatory,S1C
12226,12364,5212,L4 IT,Excitatory,S1C
12227,19363,5213,L2/3 IT,Excitatory,S1C
12229,22932,5212,Oligo,Non-neuronal,S1C
12232,30084,5213,L4 IT,Excitatory,S1C
12233,4388,5215,L5/6 NP,Excitatory,S1C
12235,7739,5214,VIP,Inhibitory,S1C
12248,13400,5219,L2/3 IT,Excitatory,S1C
12250,25132,5211,VIP,Inhibitory,S1C
12251,32856,5218,Oligo,Non-neuronal,S1C
12252,10006,5220,Astro,Non-neuronal,S1C
12253,14047,5219,OPC,Non-neuronal,S1C
12254,17328,5220,L2/3 IT,Excitatory,S1C
12255,21359,5219,L4 IT,Excitatory,S1C
12257,31786,5220,Astro,Non-neuronal,S1C
12259,12166,5222,Oligo,Non-neuronal,S1C
12260,14995,5221,L6 IT Car3,Excitatory,S1C
12265,35586,5223,L2/3 IT,Excitatory,S1C
12266,1711,5223,VIP,Inhibitory,S1C
12271,33728,5224,Micro/PVM,Non-neuronal,S1C
12272,35250,5223,Astro,Non-neuronal,S1C
12274,4707,5220,L5 IT,Excitatory,S1C
12278,33270,5224,L2/3 IT,Excitatory,S1C
12280,3869,5227,Astro,Non-neuronal,S1C
12282,12330,5227,L4 IT,Excitatory,S1C
12283,16992,5227,L2/3 IT,Excitatory,S1C
12287,34115,5227,Oligo,Non-neuronal,S1C
12288,18218,5229,PVALB,Inhibitory,S1C
12292,25699,5228,Oligo,Non-neuronal,S1C
12293,35975,5228,Oligo,Non-neuronal,S1C
12294,4859,5231,L6 IT,Excitatory,S1C
12295,8820,5231,Astro,Non-neuronal,S1C
12296,12621,5231,L4 IT,Excitatory,S1C
12297,15698,5229,SST,Inhibitory,S1C
12298,19773,5230,VIP,Inhibitory,S1C
12300,28218,5229,Astro,Non-neuronal,S1C
12302,24189,5232,Chandelier,Inhibitory,S1C
12304,577,5234,L4 IT,Excitatory,S1C
12306,25155,5235,Oligo,Non-neuronal,S1C
12307,27288,5235,PVALB,Inhibitory,S1C
12308,33764,5233,Micro/PVM,Non-neuronal,S1C
12309,34365,5237,Chandelier,Inhibitory,S1C
12310,980,5235,Micro/PVM,Non-neuronal,S1C
12311,16625,5235,VIP,Inhibitory,S1C
12312,18822,5237,Oligo,Non-neuronal,S1C
12314,31095,5235,L5 IT,Excitatory,S1C
12318,11819,5238,Oligo,Non-neuronal,S1C
12319,14481,5238,L2/3 IT,Excitatory,S1C
12321,24273,5239,SST,Inhibitory,S1C
12327,33699,5239,PVALB,Inhibitory,S1C
12328,36452,5239,Endo,Non-neuronal,S1C
12334,19345,5239,L2/3 IT,Excitatory,S1C
12337,24402,5239,Micro/PVM,Non-neuronal,S1C
12339,27490,5239,PVALB,Inhibitory,S1C
12341,14451,5240,Micro/PVM,Non-neuronal,S1C
12343,15176,5241,Oligo,Non-neuronal,S1C
12344,17213,5241,Astro,Non-neuronal,S1C
12346,19930,5241,L2/3 IT,Excitatory,S1C
12349,26638,5242,LAMP5,Inhibitory,S1C
12350,29026,5240,OPC,Non-neuronal,S1C
12353,36134,5241,Oligo,Non-neuronal,S1C
12357,33099,5242,Astro,Non-neuronal,S1C
12358,35669,5242,VLMC,Non-neuronal,S1C
12360,32180,5246,Oligo,Non-neuronal,S1C
12362,789,5246,Oligo,Non-neuronal,S1C
12365,8777,5248,PVALB,Inhibitory,S1C
12366,11872,5249,L4 IT,Excitatory,S1C
12367,18511,5247,L4 IT,Excitatory,S1C
12370,14867,5252,PVALB,Inhibitory,S1C
12372,29685,5250,Chandelier,Inhibitory,S1C
12373,5607,5251,SST,Inhibitory,S1C
12374,13619,5252,L2/3 IT,Excitatory,S1C
12377,27750,5252,Micro/PVM,Non-neuronal,S1C
12378,5638,5253,Astro,Non-neuronal,S1C
12379,7836,5254,SST,Inhibitory,S1C
12380,12058,5255,Oligo,Non-neuronal,S1C
12383,26730,5254,L4 IT,Excitatory,S1C
12384,33001,5254,Oligo,Non-neuronal,S1C
12386,33460,5255,L4 IT,Excitatory,S1C
12388,6423,5259,L6 IT Car3,Excitatory,S1C
12389,12309,5256,Oligo,Non-neuronal,S1C
12390,21856,5256,L2/3 IT,Excitatory,S1C
12392,28333,5256,Chandelier,Inhibitory,S1C
12394,2775,5258,Astro,Non-neuronal,S1C
12395,5231,5259,L5 IT,Excitatory,S1C
12398,10610,5258,L6 CT,Excitatory,S1C
12399,14131,5258,PVALB,Inhibitory,S1C
12401,25006,5257,Oligo,Non-neuronal,S1C
12402,34010,5258,Astro,Non-neuronal,S1C
12403,5423,5261,SST,Inhibitory,S1C
12408,24560,5261,L2/3 IT,Excitatory,S1C
12409,4234,5262,L5/6 NP,Excitatory,S1C
12410,13123,5262,SST,Inhibitory,S1C
12411,27474,5263,Astro,Non-neuronal,S1C
12419,31155,5264,LAMP5,Inhibitory,S1C
12420,32510,5262,PVALB,Inhibitory,S1C
12421,35046,5260,L5/6 NP,Excitatory,S1C
12423,36425,5263,Oligo,Non-neuronal,S1C
12426,17259,5265,L2/3 IT,Excitatory,S1C
12429,35146,5265,L6 IT,Excitatory,S1C
12432,14263,5268,SST,Inhibitory,S1C
12434,32486,5268,Oligo,Non-neuronal,S1C
12435,2346,5269,L2/3 IT,Excitatory,S1C
12436,9755,5270,L5 IT,Excitatory,S1C
12444,559,5272,Micro/PVM,Non-neuronal,S1C
12445,1044,5271,Astro,Non-neuronal,S1C
12447,12818,5270,L4 IT,Excitatory,S1C
12448,26009,5272,L4 IT,Excitatory,S1C
12451,7344,5272,Oligo,Non-neuronal,S1C
12456,25916,5273,L2/3 IT,Excitatory,S1C
12460,7816,5275,Oligo,Non-neuronal,S1C
12462,15037,5276,L4 IT,Excitatory,S1C
12464,26615,5275,Oligo,Non-neuronal,S1C
12465,26758,5275,PAX6,Inhibitory,S1C
12466,32711,5276,Micro/PVM,Non-neuronal,S1C
12468,35247,5276,PVALB,Inhibitory,S1C
12470,16781,5278,PVALB,Inhibitory,S1C
12472,25323,5277,VLMC,Non-neuronal,S1C
12476,31847,5280,Oligo,Non-neuronal,S1C
12477,1302,5281,Oligo,Non-neuronal,S1C
12478,4089,5281,L5 IT,Excitatory,S1C
12479,10226,5281,Oligo,Non-neuronal,S1C
12480,14316,5282,Astro,Non-neuronal,S1C
12481,17813,5281,L4 IT,Excitatory,S1C
12482,24273,5280,Oligo,Non-neuronal,S1C
12485,36476,5281,L2/3 IT,Excitatory,S1C
12486,286,5284,PVALB,Inhibitory,S1C
12487,7855,5283,SST,Inhibitory,S1C
12489,14486,5283,L4 IT,Excitatory,S1C
12497,1572,5285,L6 CT,Excitatory,S1C
12499,16914,5285,VIP,Inhibitory,S1C
12500,7418,5288,LAMP5 LHX6,Inhibitory,S1C
12501,10928,5287,VIP,Inhibitory,S1C
12502,12138,5286,L6 CT,Excitatory,S1C
12503,17935,5286,L4 IT,Excitatory,S1C
12506,20400,5286,OPC,Non-neuronal,S1C
12507,16870,5288,L4 IT,Excitatory,S1C
12508,18785,5288,Micro/PVM,Non-neuronal,S1C
12509,22427,5289,Micro/PVM,Non-neuronal,S1C
12513,35578,5289,L4 IT,Excitatory,S1C
12514,4479,5290,Oligo,Non-neuronal,S1C
12516,17484,5290,L6 IT,Excitatory,S1C
12517,24551,5291,L2/3 IT,Excitatory,S1C
12520,35789,5290,Oligo,Non-neuronal,S1C
12522,477,5292,L4 IT,Excitatory,S1C
12523,7749,5292,L4 IT,Excitatory,S1C
12524,11893,5292,L2/3 IT,Excitatory,S1C
12525,24095,5292,VLMC,Non-neuronal,S1C
12535,25420,5295,L2/3 IT,Excitatory,S1C
12537,2486,5298,LAMP5 LHX6,Inhibitory,S1C
12538,7687,5297,L5 IT,Excitatory,S1C
12540,13893,5296,VIP,Inhibitory,S1C
12544,30938,5299,Oligo,Non-neuronal,S1C
12546,33853,5299,PVALB,Inhibitory,S1C
12547,9352,5302,L4 IT,Excitatory,S1C
12549,23247,5300,VIP,Inhibitory,S1C
12555,17613,5302,L4 IT,Excitatory,S1C
12556,5984,5304,OPC,Non-neuronal,S1C
12557,11612,5305,Oligo,Non-neuronal,S1C
12558,18904,5304,L2/3 IT,Excitatory,S1C
12559,19080,5303,L2/3 IT,Excitatory,S1C
12560,36237,5306,Oligo,Non-neuronal,S1C
12562,16895,5308,PVALB,Inhibitory,S1C
12563,30702,5309,Micro/PVM,Non-neuronal,S1C
12567,23666,5311,L2/3 IT,Excitatory,S1C
12568,25181,5310,LAMP5,Inhibitory,S1C
12569,27942,5310,Astro,Non-neuronal,S1C
12570,6868,5312,L6 IT,Excitatory,S1C
12574,18434,5311,L4 IT,Excitatory,S1C
12576,24068,5314,Oligo,Non-neuronal,S1C
12579,3546,5314,Astro,Non-neuronal,S1C
12580,5014,5314,L5 ET,Excitatory,S1C
12582,13606,5313,L2/3 IT,Excitatory,S1C
12583,15434,5314,Micro/PVM,Non-neuronal,S1C
12584,18572,5313,L2/3 IT,Excitatory,S1C
12586,30405,5310,L2/3 IT,Excitatory,S1C
12592,14024,5314,L4 IT,Excitatory,S1C
12593,24799,5316,Chandelier,Inhibitory,S1C
12594,13369,5318,SST,Inhibitory,S1C
12595,15152,5316,L6 CT,Excitatory,S1C
12596,36467,5317,Chandelier,Inhibitory,S1C
12597,6909,5319,Micro/PVM,Non-neuronal,S1C
12601,31124,5318,L4 IT,Excitatory,S1C
12603,4752,5320,VIP,Inhibitory,S1C
12606,22021,5320,L5 IT,Excitatory,S1C
12608,36306,5321,L6 IT Car3,Excitatory,S1C
12609,991,5322,PVALB,Inhibitory,S1C
12613,32785,5323,L2/3 IT,Excitatory,S1C
12614,4785,5325,Micro/PVM,Non-neuronal,S1C
12617,29526,5325,OPC,Non-neuronal,S1C
