,x,y,celltype_F,rotated_x,rotated_y
8921,18419,8195,L4 IT,18419.0,8195.0
8925,17118,8200,OPC,17118.0,8200.0
8930,16870,8201,Oligo,16870.0,8201.0
8933,18242,8205,LAMP5,18242.0,8205.0
8938,17969,8206,L5 IT,17969.0,8206.0
8942,18982,8209,Oligo,18982.0,8209.0
8949,18595,8213,Oligo,18595.0,8213.0
8951,17617,8215,SST,17617.0,8215.0
8973,15761,8231,L4 IT,15761.0,8231.0
8991,15328,8243,Micro/PVM,15328.0,8243.0
8994,15972,8244,LAMP5 LHX6,15972.0,8244.0
8998,17334,8248,L5 IT,17334.0,8248.0
9001,16148,8249,L5 IT,16148.0,8249.0
9002,16291,8252,Micro/PVM,16291.0,8252.0
9003,18067,8252,L4 IT,18067.0,8252.0
9015,17501,8265,LAMP5,17501.0,8265.0
9018,18208,8269,L4 IT,18208.0,8269.0
9019,18294,8268,L4 IT,18294.0,8268.0
9025,16094,8267,Chandelier,16094.0,8267.0
9030,17568,8271,L4 IT,17568.0,8271.0
9031,18654,8271,L4 IT,18654.0,8271.0
9038,15268,8281,VIP,15268.0,8281.0
9042,15240,8282,OPC,15240.0,8282.0
9044,18575,8284,L4 IT,18575.0,8284.0
9063,15339,8295,VIP,15339.0,8295.0
9064,18760,8302,VIP,18760.0,8302.0
9069,18286,8301,L5 IT,18286.0,8301.0
9080,18790,8310,OPC,18790.0,8310.0
9099,15441,8324,L4 IT,15441.0,8324.0
9100,15590,8329,Chandelier,15590.0,8329.0
9109,18616,8328,LAMP5 LHX6,18616.0,8328.0
9117,18183,8331,Micro/PVM,18183.0,8331.0
9119,15464,8333,L4 IT,15464.0,8333.0
9120,15563,8333,L6 IT Car3,15563.0,8333.0
9144,17746,8350,L2/3 IT,17746.0,8350.0
9149,16851,8353,PVALB,16851.0,8353.0
9157,15149,8357,Oligo,15149.0,8357.0
9158,15573,8359,L4 IT,15573.0,8359.0
9159,18812,8358,Oligo,18812.0,8358.0
9163,17630,8360,L6 CT,17630.0,8360.0
9169,15912,8362,PVALB,15912.0,8362.0
9170,16237,8363,L6 IT Car3,16237.0,8363.0
9176,18128,8368,SST,18128.0,8368.0
9186,15398,8372,L6B,15398.0,8372.0
9192,16114,8379,Astro,16114.0,8379.0
9193,18329,8379,L5 IT,18329.0,8379.0
9194,18442,8379,L4 IT,18442.0,8379.0
9200,17610,8384,L4 IT,17610.0,8384.0
9209,17194,8388,L6B,17194.0,8388.0
9215,15022,8394,L4 IT,15022.0,8394.0
9218,18764,8395,L4 IT,18764.0,8395.0
9221,18557,8397,L4 IT,18557.0,8397.0
9233,15149,8406,L2/3 IT,15149.0,8406.0
9235,18214,8408,L4 IT,18214.0,8408.0
9237,15853,8410,SST,15853.0,8410.0
9238,17627,8409,L2/3 IT,17627.0,8409.0
9248,15361,8415,L6 IT Car3,15361.0,8415.0
9254,15217,8421,L6 IT Car3,15217.0,8421.0
9267,16635,8428,Astro,16635.0,8428.0
9268,16882,8428,L4 IT,16882.0,8428.0
9277,16913,8433,L6 CT,16913.0,8433.0
9278,17625,8433,L4 IT,17625.0,8433.0
9283,15232,8439,L5 IT,15232.0,8439.0
9288,15855,8440,OPC,15855.0,8440.0
9291,15109,8444,Chandelier,15109.0,8444.0
9292,17403,8447,Oligo,17403.0,8447.0
9293,17798,8446,PVALB,17798.0,8446.0
9308,17588,8455,L6B,17588.0,8455.0
9312,15406,8459,L4 IT,15406.0,8459.0
9313,18104,8459,L4 IT,18104.0,8459.0
