,x,y,celltype_F,rotated_x,rotated_y
13575,23985,9935,Oligo,23985.0,9935.0
13588,23282,9941,Oligo,23282.0,9941.0
13594,21039,9944,L6 IT Car3,21039.0,9944.0
13595,22030,9944,Oligo,22030.0,9944.0
13612,20517,9952,Astro,20517.0,9952.0
13623,22784,9959,Oligo,22784.0,9959.0
13627,22824,9962,L6 IT,22824.0,9962.0
13631,21285,9968,Endo,21285.0,9968.0
13633,21987,9969,Oligo,21987.0,9969.0
13642,23979,9974,L6 IT,23979.0,9974.0
13653,20588,9976,L6B,20588.0,9976.0
13657,21210,9977,Oligo,21210.0,9977.0
13670,21367,9982,VLMC,21367.0,9982.0
13704,21112,10008,Oligo,21112.0,10008.0
13711,21504,10011,L6 CT,21504.0,10011.0
13723,23949,10017,Oligo,23949.0,10017.0
13732,20752,10021,Oligo,20752.0,10021.0
13733,22024,10021,L6 CT,22024.0,10021.0
13734,23275,10022,L6 IT,23275.0,10022.0
13750,23463,10027,Oligo,23463.0,10027.0
13757,20935,10032,L6 CT,20935.0,10032.0
13772,20917,10044,Oligo,20917.0,10044.0
13774,20327,10046,Oligo,20327.0,10046.0
13807,23372,10065,VIP,23372.0,10065.0
13816,21818,10071,Astro,21818.0,10071.0
13817,22079,10069,Oligo,22079.0,10069.0
13821,23948,10072,OPC,23948.0,10072.0
13827,21846,10075,Oligo,21846.0,10075.0
13836,21537,10079,Oligo,21537.0,10079.0
13842,22857,10082,Astro,22857.0,10082.0
13850,22129,10085,L6 CT,22129.0,10085.0
13856,23496,10087,Oligo,23496.0,10087.0
13872,22911,10093,Oligo,22911.0,10093.0
13882,20045,10098,L6B,20045.0,10098.0
13886,23591,10101,Oligo,23591.0,10101.0
13895,22265,10106,Oligo,22265.0,10106.0
13902,21085,10108,Oligo,21085.0,10108.0
13903,23609,10109,Oligo,23609.0,10109.0
13913,21041,10114,L6 IT,21041.0,10114.0
13931,21066,10123,Oligo,21066.0,10123.0
13932,22738,10124,Oligo,22738.0,10124.0
13946,23197,10131,Micro/PVM,23197.0,10131.0
13970,22961,10138,Oligo,22961.0,10138.0
13973,20321,10142,Oligo,20321.0,10142.0
13988,21019,10146,OPC,21019.0,10146.0
13989,21717,10148,OPC,21717.0,10148.0
13993,20640,10151,L6 CT,20640.0,10151.0
14007,20215,10150,Oligo,20215.0,10150.0
14010,21818,10160,VLMC,21818.0,10160.0
14015,20824,10162,Micro/PVM,20824.0,10162.0
14018,23775,10164,Oligo,23775.0,10164.0
14019,22686,10167,PVALB,22686.0,10167.0
14034,20164,10173,Oligo,20164.0,10173.0
14035,23826,10172,Oligo,23826.0,10172.0
14058,23708,10185,Oligo,23708.0,10185.0
14061,23253,10187,Micro/PVM,23253.0,10187.0
14093,22089,10205,Astro,22089.0,10205.0
