,x,y,celltype_F,rotated_x,rotated_y
10928,13083,6077,Astro,3922.9999999999977,23083.0
10929,20889,6077,L6 IT,3922.9999999999964,30889.0
10930,21164,6077,L5 IT,3922.999999999996,31164.0
10931,24548,6078,L5 IT,3921.9999999999955,34548.0
10932,7645,6078,Astro,3921.9999999999986,17645.0
10933,27676,6083,L6 CT,3916.999999999995,37676.0
10934,2667,6086,L2/3 IT,3913.9999999999995,12667.0
10935,23450,6084,L2/3 IT,3915.999999999996,33450.0
10936,2762,6086,Micro/PVM,3913.9999999999995,12762.0
10937,20292,6087,L6 CT,3912.9999999999964,30292.0
10940,13206,6087,L4 IT,3912.9999999999977,23206.0
10941,13983,6088,PVALB,3911.9999999999973,23983.0
10942,25038,6087,Oligo,3912.9999999999955,35038.0
10943,25666,6089,Astro,3910.9999999999955,35666.0
10945,1329,6090,L2/3 IT,3909.9999999999995,11329.0
10946,7076,6089,L4 IT,3910.9999999999986,17076.0
10947,14199,6090,L4 IT,3909.9999999999973,24199.0
10948,15905,6089,L6 IT,3910.9999999999973,25905.0
10949,27640,6089,L6 IT Car3,3910.999999999995,37640.0
10951,3658,6094,L2/3 IT,3905.9999999999995,13658.0
10952,7146,6093,L2/3 IT,3906.9999999999986,17146.0
10953,9324,6093,L4 IT,3906.999999999998,19324.0
10954,17199,6092,Oligo,3907.999999999997,27199.0
10956,4315,6094,L4 IT,3905.999999999999,14315.0
10960,1455,6098,L2/3 IT,3901.9999999999995,11455.0
10961,1773,6096,Oligo,3903.9999999999995,11773.0
10962,6827,6097,SNCG,3902.9999999999986,16827.0
10963,10292,6096,Astro,3903.999999999998,20292.0
10964,12248,6096,L4 IT,3903.9999999999977,22248.0
10965,17067,6097,L6 CT,3902.999999999997,27067.0
10967,9657,6098,PVALB,3901.999999999998,19657.0
10968,2977,6100,L2/3 IT,3899.9999999999995,12977.0
10969,5510,6097,L2/3 IT,3902.999999999999,15510.0
10971,16794,6102,L5 IT,3897.999999999997,26794.0
10972,18371,6102,Astro,3897.999999999997,28371.0
10973,3010,6107,L2/3 IT,3892.9999999999995,13010.0
10974,14939,6106,OPC,3893.9999999999973,24939.0
10975,23249,6107,L2/3 IT,3892.999999999996,33249.0
10976,18025,6107,L5/6 NP,3892.999999999997,28025.0
10977,18442,6109,L6 IT,3890.999999999997,28442.0
10978,2065,6113,PVALB,3886.9999999999995,12065.0
10979,18793,6113,Astro,3886.9999999999964,28793.0
10980,23355,6113,Oligo,3886.999999999996,33355.0
10981,25865,6111,Micro/PVM,3888.9999999999955,35865.0
10982,13704,6115,L6 IT,3884.9999999999973,23704.0
10983,14075,6115,Astro,3884.9999999999973,24075.0
10987,15694,6117,L6 IT,3882.9999999999973,25694.0
10988,16832,6117,SST,3882.999999999997,26832.0
10989,18179,6117,Astro,3882.999999999997,28179.0
10990,18891,6115,L5 IT,3884.9999999999964,28891.0
10991,27784,6116,Micro/PVM,3883.999999999995,37784.0
