,x,y,celltype_F,rotated_x,rotated_y
8752,8975,8997,L6 IT Car3,8975.0,8997.0
8765,5510,9002,Micro/PVM,5510.0,9002.0
8770,6289,9007,Oligo,6289.0,9007.0
8779,6264,9021,L6 CT,6264.0,9021.0
8791,5510,9031,Oligo,5510.0,9031.0
8819,9478,9063,Astro,9478.0,9063.0
8822,6598,9065,L6 IT Car3,6598.0,9065.0
8823,7474,9065,L6 IT,7474.0,9065.0
8832,7966,9074,Oligo,7966.0,9074.0
8835,7207,9078,L6 IT,7207.0,9078.0
8839,7255,9083,Astro,7255.0,9083.0
8840,7999,9081,L6 IT Car3,7999.0,9081.0
8847,5600,9089,Oligo,5600.0,9089.0
8853,6396,9092,Oligo,6396.0,9092.0
8858,6593,9104,L6 CT,6593.0,9104.0
8872,9161,9115,L6 IT,9161.0,9115.0
8877,5609,9120,L6 CT,5609.0,9120.0
8882,9415,9120,Oligo,9415.0,9120.0
8886,9073,9124,Oligo,9073.0,9124.0
8890,8305,9125,Oligo,8305.0,9125.0
8896,6131,9128,L6 CT,6131.0,9128.0
8906,6750,9137,L6 CT,6750.0,9137.0
8907,6809,9137,Oligo,6809.0,9137.0
8908,8540,9137,Astro,8540.0,9137.0
8909,5795,9139,Oligo,5795.0,9139.0
8934,7655,9169,Oligo,7655.0,9169.0
8943,8469,9180,Oligo,8469.0,9180.0
8945,7585,9182,Oligo,7585.0,9182.0
8949,6861,9181,Micro/PVM,6861.0,9181.0
8956,8340,9191,Oligo,8340.0,9191.0
8963,6738,9198,L6 IT,6738.0,9198.0
8966,8679,9203,Oligo,8679.0,9203.0
8967,7257,9205,Oligo,7257.0,9205.0
8968,6232,9205,Micro/PVM,6232.0,9205.0
8974,8110,9209,Oligo,8110.0,9209.0
8980,5536,9218,Oligo,5536.0,9218.0
8981,7594,9221,L6B,7594.0,9221.0
8982,8547,9220,Oligo,8547.0,9220.0
9007,8907,9245,Oligo,8907.0,9245.0
9015,8977,9252,L6 CT,8977.0,9252.0
9021,9119,9258,L6 IT,9119.0,9258.0
9026,8758,9260,Oligo,8758.0,9260.0
9032,5634,9264,Oligo,5634.0,9264.0
9037,7862,9270,Oligo,7862.0,9270.0
